province_region,occupation,skill_level,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management Occupations,0,1913.0,1752.0,1508.0,2245.0,2721.0,2608.0,4041.0,4663.0
Canada,Professionals,A,4554.0,3835.0,4293.0,5901.0,5095.0,6445.0,11388.0,8970.0
Canada,Skilled and Technical,B,19094.0,19454.0,18980.0,29411.0,26303.0,27517.0,62999.0,67068.0
Canada,Intermediate and Clerical,C,61572.0,69152.0,79759.0,85308.0,82967.0,88146.0,116274.0,127850.0
Canada,Elemental and Labourers,D,3181.0,3953.0,4448.0,7587.0,8187.0,8479.0,28140.0,31084.0
Newfoundland and Labrador,Management Occupations,0,75.0,34.0,14.0,9.0,17.0,23.0,11.0,14.0
Newfoundland and Labrador,Professionals,A,147.0,84.0,21.0,55.0,43.0,48.0,45.0,54.0
Newfoundland and Labrador,Skilled and Technical,B,1126.0,787.0,321.0,308.0,529.0,401.0,561.0,387.0
Newfoundland and Labrador,Intermediate and Clerical,C,333.0,301.0,119.0,110.0,180.0,199.0,493.0,701.0
Newfoundland and Labrador,Elemental and Labourers,D,60.0,11.0,2.0,13.0,158.0,23.0,343.0,512.0
Prince Edward Island,Management Occupations,0,9.0,4.0,4.0,3.0,9.0,7.0,4.0,6.0
Prince Edward Island,Professionals,A,42.0,11.0,2.0,5.0,6.0,3.0,8.0,4.0
Prince Edward Island,Skilled and Technical,B,53.0,57.0,22.0,48.0,50.0,51.0,140.0,120.0
Prince Edward Island,Intermediate and Clerical,C,795.0,962.0,980.0,1107.0,1641.0,1356.0,1962.0,1372.0
Prince Edward Island,Elemental and Labourers,D,47.0,22.0,4.0,16.0,18.0,87.0,177.0,209.0
Nova Scotia,Management Occupations,0,52.0,60.0,43.0,42.0,48.0,44.0,56.0,54.0
Nova Scotia,Professionals,A,130.0,70.0,65.0,63.0,55.0,119.0,163.0,97.0
Nova Scotia,Skilled and Technical,B,412.0,284.0,188.0,244.0,190.0,244.0,677.0,664.0
Nova Scotia,Intermediate and Clerical,C,1762.0,2176.0,3024.0,2340.0,2783.0,3454.0,4129.0,3596.0
Nova Scotia,Elemental and Labourers,D,100.0,113.0,74.0,134.0,183.0,300.0,567.0,1025.0
New Brunswick,Management Occupations,0,10.0,9.0,4.0,6.0,13.0,13.0,32.0,32.0
New Brunswick,Professionals,A,35.0,29.0,8.0,22.0,12.0,23.0,51.0,35.0
New Brunswick,Skilled and Technical,B,285.0,169.0,117.0,206.0,160.0,311.0,542.0,540.0
New Brunswick,Intermediate and Clerical,C,1128.0,1516.0,1208.0,1599.0,2649.0,2501.0,5448.0,3627.0
New Brunswick,Elemental and Labourers,D,13.0,77.0,24.0,141.0,52.0,167.0,1065.0,780.0
Quebec,Management Occupations,0,132.0,129.0,151.0,197.0,201.0,220.0,487.0,593.0
Quebec,Professionals,A,1038.0,982.0,1435.0,2433.0,2026.0,2581.0,4675.0,3707.0
Quebec,Skilled and Technical,B,1678.0,1594.0,2136.0,3862.0,4171.0,3815.0,13779.0,15182.0
Quebec,Intermediate and Clerical,C,16362.0,13528.0,16366.0,24606.0,22969.0,26172.0,36850.0,34107.0
Quebec,Elemental and Labourers,D,1101.0,1383.0,1169.0,2492.0,3589.0,2911.0,11001.0,8612.0
Ontario,Management Occupations,0,600.0,591.0,615.0,796.0,1020.0,1010.0,1578.0,2246.0
Ontario,Professionals,A,1329.0,1199.0,1385.0,1790.0,1573.0,2009.0,3621.0,3156.0
Ontario,Skilled and Technical,B,3221.0,4001.0,4236.0,5862.0,7126.0,6638.0,14489.0,19783.0
Ontario,Intermediate and Clerical,C,24770.0,32305.0,32825.0,31057.0,29667.0,33088.0,37298.0,43675.0
Ontario,Elemental and Labourers,D,506.0,1018.0,1846.0,1921.0,2104.0,2451.0,5032.0,5761.0
Manitoba,Management Occupations,0,16.0,13.0,20.0,37.0,24.0,28.0,46.0,60.0
Manitoba,Professionals,A,80.0,63.0,122.0,69.0,58.0,106.0,126.0,111.0
Manitoba,Skilled and Technical,B,221.0,233.0,256.0,300.0,269.0,356.0,1112.0,1446.0
Manitoba,Intermediate and Clerical,C,761.0,839.0,901.0,1353.0,1415.0,1183.0,1973.0,2335.0
Manitoba,Elemental and Labourers,D,170.0,176.0,160.0,193.0,7.0,185.0,623.0,724.0
Saskatchewan,Management Occupations,0,19.0,18.0,10.0,14.0,15.0,24.0,23.0,39.0
Saskatchewan,Professionals,A,65.0,58.0,54.0,44.0,39.0,54.0,63.0,34.0
Saskatchewan,Skilled and Technical,B,391.0,321.0,332.0,453.0,288.0,327.0,938.0,932.0
Saskatchewan,Intermediate and Clerical,C,638.0,659.0,669.0,913.0,794.0,785.0,1167.0,1546.0
Saskatchewan,Elemental and Labourers,D,53.0,34.0,33.0,42.0,28.0,28.0,256.0,573.0
Alberta,Management Occupations,0,511.0,326.0,181.0,272.0,165.0,221.0,386.0,441.0
Alberta,Professionals,A,400.0,235.0,231.0,294.0,198.0,308.0,784.0,671.0
Alberta,Skilled and Technical,B,5195.0,4987.0,4208.0,6518.0,4109.0,5243.0,13288.0,11788.0
Alberta,Intermediate and Clerical,C,3557.0,3644.0,4162.0,5214.0,3475.0,3162.0,6345.0,8226.0
Alberta,Elemental and Labourers,D,569.0,387.0,242.0,642.0,171.0,177.0,2647.0,6381.0
British Columbia,Management Occupations,0,483.0,564.0,460.0,863.0,1207.0,1013.0,1411.0,1176.0
British Columbia,Professionals,A,1221.0,1039.0,904.0,1064.0,1061.0,1113.0,1769.0,1024.0
British Columbia,Skilled and Technical,B,6417.0,6935.0,7063.0,11463.0,9355.0,10029.0,17277.0,16045.0
British Columbia,Intermediate and Clerical,C,11323.0,13175.0,19431.0,16912.0,17363.0,16224.0,20581.0,28615.0
British Columbia,Elemental and Labourers,D,557.0,728.0,881.0,1977.0,1875.0,2141.0,6366.0,6435.0
Yukon,Management Occupations,0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
Yukon,Professionals,A,59.0,50.0,58.0,60.0,24.0,76.0,82.0,73.0
Yukon,Skilled and Technical,B,40.0,52.0,36.0,45.0,8.0,44.0,53.0,43.0
Yukon,Intermediate and Clerical,C,5.0,13.0,12.0,26.0,7.0,3.0,8.0,10.0
Yukon,Elemental and Labourers,D,2.0,3.0,0.0,7.0,0.0,0.0,13.0,10.0
Northwest Territories,Management Occupations,0,3.0,2.0,1.0,5.0,0.0,2.0,4.0,2.0
Northwest Territories,Professionals,A,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Northwest Territories,Skilled and Technical,B,24.0,24.0,8.0,31.0,19.0,15.0,87.0,54.0
Northwest Territories,Intermediate and Clerical,C,36.0,18.0,12.0,13.0,9.0,6.0,2.0,15.0
Northwest Territories,Elemental and Labourers,D,0.0,1.0,0.0,6.0,1.0,7.0,38.0,52.0
Nunavut,Management Occupations,0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0
Nunavut,Professionals,A,7.0,14.0,8.0,1.0,0.0,5.0,0.0,3.0
Nunavut,Skilled and Technical,B,31.0,10.0,57.0,71.0,29.0,43.0,56.0,84.0
Nunavut,Intermediate and Clerical,C,102.0,16.0,50.0,58.0,15.0,13.0,18.0,25.0
Nunavut,Elemental and Labourers,D,3.0,0.0,13.0,3.0,1.0,2.0,12.0,10.0
