program_stream,2016,2017,2018,2019,2020,2021,2022,2023,province_region,region_code,region_name
High-wage,135.0,67.0,48.0,26.0,20.0,18.0,30.0,22.0,Newfoundland and Labrador,1010,Avalon Peninsula
Low-wage,54.0,58.0,79.0,25.0,11.0,14.0,504.0,778.0,Newfoundland and Labrador,1010,Avalon Peninsula
Primary Agriculture,26.0,17.0,24.0,27.0,46.0,32.0,46.0,35.0,Newfoundland and Labrador,1010,Avalon Peninsula
Global Talent Stream,0.0,0.0,1.0,21.0,2.0,10.0,3.0,4.0,Newfoundland and Labrador,1010,Avalon Peninsula
Permanent Resident Only,4.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,Newfoundland and Labrador,1010,Avalon Peninsula
High-wage,0.0,8.0,4.0,3.0,2.0,2.0,13.0,4.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
Low-wage,1.0,1.0,0.0,0.0,0.0,2.0,23.0,56.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Newfoundland and Labrador,1020,South Coast--Burin Peninsula
High-wage,22.0,9.0,16.0,9.0,9.0,5.0,11.0,21.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Low-wage,19.0,11.0,23.0,18.0,17.0,26.0,61.0,85.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Primary Agriculture,8.0,13.0,16.0,12.0,19.0,21.0,36.0,44.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Global Talent Stream,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
Permanent Resident Only,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Newfoundland and Labrador,1030,West Coast--Northern Peninsula--Labrador
High-wage,14.0,5.0,4.0,8.0,11.0,18.0,18.0,16.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
Low-wage,2.0,4.0,1.0,14.0,11.0,19.0,114.0,123.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
Primary Agriculture,2.0,3.0,2.0,18.0,16.0,20.0,21.0,22.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,Newfoundland and Labrador,1040,Notre Dame--Central Bonavista Bay
High-wage,124.0,129.0,116.0,84.0,61.0,69.0,119.0,94.0,Prince Edward Island,1110,Prince Edward Island
Low-wage,462.0,509.0,487.0,566.0,901.0,924.0,1488.0,901.0,Prince Edward Island,1110,Prince Edward Island
Primary Agriculture,360.0,418.0,408.0,526.0,754.0,508.0,679.0,712.0,Prince Edward Island,1110,Prince Edward Island
Global Talent Stream,0.0,0.0,1.0,2.0,8.0,3.0,5.0,3.0,Prince Edward Island,1110,Prince Edward Island
Permanent Resident Only,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Prince Edward Island,1110,Prince Edward Island
High-wage,60.0,18.0,19.0,12.0,4.0,6.0,7.0,25.0,Nova Scotia,1210,Cape Breton
Low-wage,37.0,91.0,73.0,57.0,157.0,188.0,327.0,359.0,Nova Scotia,1210,Cape Breton
Primary Agriculture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nova Scotia,1210,Cape Breton
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,Nova Scotia,1210,Cape Breton
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Nova Scotia,1210,Cape Breton
High-wage,33.0,16.0,24.0,13.0,7.0,14.0,22.0,27.0,Nova Scotia,1220,North Shore
Low-wage,87.0,135.0,93.0,164.0,207.0,468.0,488.0,304.0,Nova Scotia,1220,North Shore
Primary Agriculture,326.0,431.0,956.0,488.0,490.0,558.0,880.0,620.0,Nova Scotia,1220,North Shore
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Nova Scotia,1220,North Shore
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,Nova Scotia,1220,North Shore
High-wage,21.0,37.0,39.0,19.0,2.0,43.0,60.0,41.0,Nova Scotia,1230,Annapolis Valley
Low-wage,15.0,13.0,23.0,18.0,46.0,82.0,176.0,343.0,Nova Scotia,1230,Annapolis Valley
Primary Agriculture,1178.0,1318.0,1631.0,1240.0,1622.0,1668.0,1747.0,1950.0,Nova Scotia,1230,Annapolis Valley
Global Talent Stream,0.0,0.0,1.0,0.0,3.0,3.0,6.0,1.0,Nova Scotia,1230,Annapolis Valley
Permanent Resident Only,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,Nova Scotia,1230,Annapolis Valley
High-wage,9.0,4.0,4.0,2.0,1.0,22.0,40.0,27.0,Nova Scotia,1240,Southern
Low-wage,60.0,107.0,87.0,182.0,213.0,528.0,675.0,507.0,Nova Scotia,1240,Southern
Primary Agriculture,86.0,116.0,105.0,197.0,165.0,158.0,201.0,238.0,Nova Scotia,1240,Southern
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,Nova Scotia,1240,Southern
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Nova Scotia,1240,Southern
High-wage,233.0,172.0,219.0,177.0,94.0,143.0,300.0,301.0,Nova Scotia,1250,Halifax
Low-wage,56.0,69.0,69.0,67.0,57.0,76.0,438.0,484.0,Nova Scotia,1250,Halifax
Primary Agriculture,22.0,22.0,27.0,35.0,63.0,20.0,61.0,98.0,Nova Scotia,1250,Halifax
Global Talent Stream,0.0,5.0,7.0,33.0,28.0,98.0,130.0,66.0,Nova Scotia,1250,Halifax
Permanent Resident Only,3.0,1.0,2.0,0.0,2.0,0.0,6.0,2.0,Nova Scotia,1250,Halifax
High-wage,6.0,6.0,1.0,3.0,1.0,50.0,39.0,117.0,New Brunswick,1310,Campbellton--Miramichi
Low-wage,46.0,56.0,173.0,187.0,240.0,632.0,1266.0,767.0,New Brunswick,1310,Campbellton--Miramichi
Primary Agriculture,17.0,4.0,5.0,8.0,4.0,3.0,12.0,34.0,New Brunswick,1310,Campbellton--Miramichi
Global Talent Stream,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,New Brunswick,1310,Campbellton--Miramichi
Permanent Resident Only,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,New Brunswick,1310,Campbellton--Miramichi
High-wage,29.0,24.0,23.0,21.0,37.0,124.0,218.0,267.0,New Brunswick,1320,Moncton--Richibucto
Low-wage,753.0,1177.0,712.0,990.0,1928.0,1309.0,4152.0,2385.0,New Brunswick,1320,Moncton--Richibucto
Primary Agriculture,74.0,74.0,98.0,121.0,137.0,138.0,208.0,221.0,New Brunswick,1320,Moncton--Richibucto
Global Talent Stream,0.0,0.0,0.0,0.0,2.0,3.0,4.0,7.0,New Brunswick,1320,Moncton--Richibucto
Permanent Resident Only,1.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,New Brunswick,1320,Moncton--Richibucto
High-wage,69.0,57.0,43.0,58.0,47.0,79.0,100.0,53.0,New Brunswick,1330,Saint John--St. Stephen
Low-wage,17.0,54.0,6.0,15.0,60.0,62.0,241.0,191.0,New Brunswick,1330,Saint John--St. Stephen
Primary Agriculture,48.0,64.0,26.0,64.0,59.0,67.0,70.0,175.0,New Brunswick,1330,Saint John--St. Stephen
Global Talent Stream,0.0,0.0,2.0,1.0,1.0,4.0,5.0,5.0,New Brunswick,1330,Saint John--St. Stephen
Permanent Resident Only,0.0,1.0,0.0,3.0,6.0,2.0,3.0,2.0,New Brunswick,1330,Saint John--St. Stephen
High-wage,8.0,6.0,12.0,76.0,29.0,105.0,90.0,56.0,New Brunswick,1340,Fredericton--Oromocto
Low-wage,20.0,24.0,12.0,19.0,18.0,58.0,145.0,154.0,New Brunswick,1340,Fredericton--Oromocto
Primary Agriculture,4.0,6.0,8.0,18.0,19.0,49.0,30.0,44.0,New Brunswick,1340,Fredericton--Oromocto
Global Talent Stream,0.0,0.0,0.0,9.0,6.0,5.0,22.0,6.0,New Brunswick,1340,Fredericton--Oromocto
Permanent Resident Only,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,New Brunswick,1340,Fredericton--Oromocto
High-wage,80.0,73.0,127.0,191.0,101.0,97.0,174.0,114.0,New Brunswick,1350,Edmundston--Woodstock
Low-wage,5.0,2.0,1.0,27.0,11.0,33.0,92.0,117.0,New Brunswick,1350,Edmundston--Woodstock
Primary Agriculture,41.0,42.0,60.0,104.0,152.0,165.0,222.0,242.0,New Brunswick,1350,Edmundston--Woodstock
Global Talent Stream,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,New Brunswick,1350,Edmundston--Woodstock
Permanent Resident Only,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,New Brunswick,1350,Edmundston--Woodstock
High-wage,3.0,9.0,23.0,4.0,15.0,39.0,282.0,41.0,Quebec,2410,Gaspésie -- Îles-de-la-Madeleine
Low-wage,8.0,39.0,88.0,164.0,118.0,231.0,516.0,824.0,Quebec,2410,Gaspésie -- Îles-de-la-Madeleine
Primary Agriculture,25.0,9.0,27.0,32.0,37.0,36.0,58.0,18.0,Quebec,2410,Gaspésie -- Îles-de-la-Madeleine
Global Talent Stream,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,Quebec,2410,Gaspésie -- Îles-de-la-Madeleine
High-wage,8.0,11.0,31.0,54.0,57.0,67.0,142.0,88.0,Quebec,2415,Bas-Saint-Laurent
Low-wage,7.0,43.0,53.0,79.0,139.0,209.0,658.0,953.0,Quebec,2415,Bas-Saint-Laurent
Primary Agriculture,97.0,126.0,144.0,288.0,231.0,326.0,445.0,429.0,Quebec,2415,Bas-Saint-Laurent
Global Talent Stream,0.0,0.0,11.0,14.0,1.0,2.0,5.0,5.0,Quebec,2415,Bas-Saint-Laurent
High-wage,212.0,330.0,369.0,694.0,738.0,552.0,1440.0,909.0,Quebec,2420,Capitale-Nationale
Low-wage,73.0,54.0,127.0,316.0,514.0,434.0,2629.0,2990.0,Quebec,2420,Capitale-Nationale
Primary Agriculture,1150.0,1160.0,1198.0,1315.0,1244.0,1815.0,1888.0,1695.0,Quebec,2420,Capitale-Nationale
Global Talent Stream,0.0,14.0,275.0,438.0,301.0,471.0,853.0,603.0,Quebec,2420,Capitale-Nationale
High-wage,73.0,164.0,287.0,559.0,608.0,518.0,1272.0,579.0,Quebec,2425,Chaudière-Appalaches
Low-wage,91.0,206.0,264.0,835.0,1103.0,594.0,3139.0,2308.0,Quebec,2425,Chaudière-Appalaches
Primary Agriculture,853.0,723.0,993.0,1542.0,1310.0,2057.0,2080.0,1765.0,Quebec,2425,Chaudière-Appalaches
Global Talent Stream,0.0,0.0,10.0,77.0,34.0,21.0,125.0,48.0,Quebec,2425,Chaudière-Appalaches
High-wage,76.0,75.0,102.0,229.0,278.0,209.0,495.0,285.0,Quebec,2430,Estrie
Low-wage,17.0,13.0,43.0,90.0,181.0,132.0,951.0,1074.0,Quebec,2430,Estrie
Primary Agriculture,397.0,574.0,717.0,935.0,966.0,918.0,1048.0,946.0,Quebec,2430,Estrie
Global Talent Stream,0.0,1.0,30.0,31.0,17.0,66.0,46.0,37.0,Quebec,2430,Estrie
High-wage,27.0,57.0,103.0,302.0,237.0,273.0,719.0,374.0,Quebec,2433,Centre-du-Québec
Low-wage,40.0,29.0,130.0,204.0,493.0,326.0,1458.0,1374.0,Quebec,2433,Centre-du-Québec
Primary Agriculture,855.0,781.0,1124.0,1514.0,1423.0,1814.0,1927.0,1845.0,Quebec,2433,Centre-du-Québec
Global Talent Stream,0.0,0.0,2.0,61.0,14.0,41.0,39.0,31.0,Quebec,2433,Centre-du-Québec
High-wage,113.0,114.0,244.0,533.0,617.0,554.0,1675.0,1380.0,Quebec,2435,Montérégie
Low-wage,354.0,420.0,682.0,1071.0,1622.0,1128.0,4908.0,4945.0,Quebec,2435,Montérégie
Primary Agriculture,7606.0,5643.0,5938.0,9457.0,7947.0,9083.0,10920.0,9545.0,Quebec,2435,Montérégie
Global Talent Stream,0.0,0.0,16.0,17.0,25.0,28.0,57.0,52.0,Quebec,2435,Montérégie
Unspecified,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2435,Montérégie
High-wage,1586.0,1395.0,1033.0,1469.0,1503.0,1172.0,2997.0,3076.0,Quebec,2440,Montréal
Low-wage,479.0,329.0,276.0,485.0,590.0,500.0,2796.0,4201.0,Quebec,2440,Montréal
Primary Agriculture,17.0,16.0,16.0,21.0,31.0,24.0,48.0,193.0,Quebec,2440,Montréal
Global Talent Stream,0.0,57.0,625.0,1184.0,834.0,1202.0,2168.0,1220.0,Quebec,2440,Montréal
Permanent Resident Only,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2440,Montréal
Unspecified,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2440,Montréal
High-wage,45.0,41.0,38.0,78.0,128.0,121.0,381.0,307.0,Quebec,2445,Laval
Low-wage,18.0,8.0,10.0,46.0,68.0,69.0,573.0,847.0,Quebec,2445,Laval
Primary Agriculture,583.0,558.0,641.0,436.0,808.0,454.0,944.0,649.0,Quebec,2445,Laval
Global Talent Stream,0.0,0.0,2.0,12.0,12.0,15.0,22.0,16.0,Quebec,2445,Laval
Unspecified,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2445,Laval
High-wage,63.0,64.0,84.0,202.0,225.0,165.0,351.0,334.0,Quebec,2450,Lanaudière
Low-wage,104.0,147.0,125.0,253.0,413.0,304.0,1279.0,1186.0,Quebec,2450,Lanaudière
Primary Agriculture,2162.0,1731.0,1931.0,2783.0,2368.0,2904.0,3542.0,2915.0,Quebec,2450,Lanaudière
Global Talent Stream,0.0,0.0,0.0,3.0,3.0,2.0,1.0,2.0,Quebec,2450,Lanaudière
Unspecified,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2450,Lanaudière
High-wage,48.0,39.0,41.0,81.0,123.0,146.0,319.0,341.0,Quebec,2455,Laurentides
Low-wage,10.0,12.0,58.0,94.0,282.0,185.0,826.0,1233.0,Quebec,2455,Laurentides
Primary Agriculture,2000.0,1340.0,1794.0,2529.0,2341.0,2831.0,3347.0,3361.0,Quebec,2455,Laurentides
Global Talent Stream,0.0,0.0,2.0,2.0,6.0,12.0,7.0,5.0,Quebec,2455,Laurentides
Unspecified,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2455,Laurentides
High-wage,34.0,38.0,30.0,74.0,114.0,69.0,186.0,123.0,Quebec,2460,Outaouais
Low-wage,31.0,8.0,11.0,24.0,59.0,63.0,402.0,429.0,Quebec,2460,Outaouais
Primary Agriculture,63.0,52.0,55.0,169.0,98.0,84.0,242.0,132.0,Quebec,2460,Outaouais
Global Talent Stream,0.0,0.0,8.0,16.0,6.0,1.0,3.0,6.0,Quebec,2460,Outaouais
High-wage,19.0,26.0,72.0,128.0,153.0,169.0,380.0,310.0,Quebec,2465,Abitibi-Témiscamingue
Low-wage,8.0,17.0,23.0,49.0,48.0,39.0,334.0,583.0,Quebec,2465,Abitibi-Témiscamingue
Primary Agriculture,34.0,30.0,86.0,184.0,131.0,190.0,223.0,211.0,Quebec,2465,Abitibi-Témiscamingue
Global Talent Stream,0.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,Quebec,2465,Abitibi-Témiscamingue
High-wage,13.0,16.0,46.0,170.0,128.0,88.0,269.0,126.0,Quebec,2470,Mauricie
Low-wage,31.0,52.0,73.0,101.0,156.0,216.0,892.0,611.0,Quebec,2470,Mauricie
Primary Agriculture,305.0,442.0,273.0,625.0,370.0,622.0,563.0,520.0,Quebec,2470,Mauricie
Global Talent Stream,0.0,0.0,15.0,16.0,14.0,22.0,34.0,16.0,Quebec,2470,Mauricie
High-wage,6.0,9.0,21.0,107.0,96.0,223.0,436.0,234.0,Quebec,2475,Saguenay--Lac-Saint-Jean
Low-wage,17.0,27.0,45.0,137.0,249.0,220.0,857.0,1031.0,Quebec,2475,Saguenay--Lac-Saint-Jean
Primary Agriculture,229.0,219.0,369.0,643.0,629.0,757.0,896.0,1100.0,Quebec,2475,Saguenay--Lac-Saint-Jean
Global Talent Stream,0.0,0.0,18.0,12.0,18.0,48.0,42.0,29.0,Quebec,2475,Saguenay--Lac-Saint-Jean
High-wage,4.0,14.0,48.0,50.0,85.0,93.0,154.0,93.0,Quebec,2480,Côte-Nord
Low-wage,10.0,11.0,14.0,22.0,82.0,96.0,479.0,482.0,Quebec,2480,Côte-Nord
Primary Agriculture,2.0,9.0,8.0,23.0,5.0,27.0,63.0,50.0,Quebec,2480,Côte-Nord
Global Talent Stream,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,Quebec,2480,Côte-Nord
Unspecified,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quebec,2480,Côte-Nord
High-wage,0.0,2.0,0.0,35.0,66.0,40.0,122.0,147.0,Quebec,2490,Nord-du-Québec
Low-wage,3.0,1.0,17.0,10.0,26.0,2.0,85.0,78.0,Quebec,2490,Nord-du-Québec
Primary Agriculture,56.0,0.0,0.0,13.0,10.0,33.0,20.0,13.0,Quebec,2490,Nord-du-Québec
Global Talent Stream,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,Quebec,2490,Nord-du-Québec
High-wage,213.0,145.0,109.0,152.0,195.0,200.0,569.0,545.0,Ontario,3510,Ottawa
Low-wage,150.0,121.0,173.0,159.0,188.0,229.0,860.0,1480.0,Ontario,3510,Ottawa
Primary Agriculture,326.0,399.0,450.0,394.0,431.0,559.0,579.0,649.0,Ontario,3510,Ottawa
Global Talent Stream,0.0,29.0,94.0,142.0,113.0,170.0,288.0,142.0,Ontario,3510,Ottawa
Permanent Resident Only,33.0,21.0,6.0,12.0,35.0,37.0,54.0,167.0,Ontario,3510,Ottawa
High-wage,51.0,48.0,60.0,53.0,49.0,54.0,106.0,138.0,Ontario,3515,Kingston--Pembroke
Low-wage,25.0,18.0,52.0,66.0,69.0,93.0,275.0,626.0,Ontario,3515,Kingston--Pembroke
Primary Agriculture,239.0,337.0,425.0,316.0,421.0,335.0,418.0,441.0,Ontario,3515,Kingston--Pembroke
Global Talent Stream,0.0,1.0,3.0,2.0,5.0,7.0,13.0,4.0,Ontario,3515,Kingston--Pembroke
Permanent Resident Only,6.0,6.0,3.0,19.0,42.0,22.0,25.0,89.0,Ontario,3515,Kingston--Pembroke
High-wage,23.0,36.0,27.0,32.0,22.0,24.0,110.0,125.0,Ontario,3520,Muskoka--Kawarthas
Low-wage,17.0,48.0,103.0,66.0,96.0,99.0,323.0,394.0,Ontario,3520,Muskoka--Kawarthas
Primary Agriculture,233.0,271.0,444.0,346.0,440.0,376.0,478.0,458.0,Ontario,3520,Muskoka--Kawarthas
Global Talent Stream,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,Ontario,3520,Muskoka--Kawarthas
Permanent Resident Only,9.0,3.0,3.0,11.0,21.0,9.0,17.0,38.0,Ontario,3520,Muskoka--Kawarthas
High-wage,2401.0,2699.0,2456.0,3667.0,4005.0,3491.0,7832.0,9677.0,Ontario,3530,Toronto
Low-wage,3096.0,3537.0,4257.0,3871.0,3232.0,3883.0,6201.0,8737.0,Ontario,3530,Toronto
Primary Agriculture,1515.0,2304.0,1981.0,2358.0,2029.0,2674.0,2878.0,2789.0,Ontario,3530,Toronto
Global Talent Stream,0.0,218.0,610.0,918.0,888.0,1330.0,2261.0,1400.0,Ontario,3530,Toronto
Permanent Resident Only,721.0,495.0,368.0,488.0,1064.0,547.0,479.0,1749.0,Ontario,3530,Toronto
Unspecified,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ontario,3530,Toronto
High-wage,222.0,205.0,240.0,325.0,226.0,593.0,749.0,944.0,Ontario,3540,Kitchener--Waterloo--Barrie
Low-wage,162.0,321.0,432.0,396.0,434.0,647.0,1727.0,1548.0,Ontario,3540,Kitchener--Waterloo--Barrie
Primary Agriculture,914.0,1305.0,1178.0,1085.0,1119.0,1289.0,1247.0,1764.0,Ontario,3540,Kitchener--Waterloo--Barrie
Global Talent Stream,0.0,35.0,97.0,94.0,100.0,119.0,142.0,78.0,Ontario,3540,Kitchener--Waterloo--Barrie
Permanent Resident Only,40.0,43.0,39.0,48.0,123.0,79.0,132.0,365.0,Ontario,3540,Kitchener--Waterloo--Barrie
High-wage,191.0,146.0,168.0,283.0,220.0,186.0,531.0,971.0,Ontario,3550,Hamilton--Niagara Peninsula
Low-wage,181.0,220.0,258.0,296.0,282.0,394.0,1170.0,1650.0,Ontario,3550,Hamilton--Niagara Peninsula
