Province_Region,Occupation,Skill_Type_Classification,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Management occupations,0.0,1834.0,1701.0,1452.0,2180.0,2646.0,2569.0,3894.0,4460.0
Canada,"Business, finance and administration occupations",1.0,1065.0,1196.0,1153.0,2492.0,2887.0,2499.0,6739.0,10035.0
Canada,Natural and applied sciences and related occupations,2.0,3350.0,3238.0,3465.0,5003.0,4200.0,5360.0,9419.0,7204.0
Canada,Health occupations,3.0,617.0,478.0,401.0,682.0,869.0,972.0,1778.0,2552.0
Canada,"Occupations in education, law and social, community and government services",4.0,6797.0,7458.0,9003.0,7153.0,4451.0,5515.0,5142.0,5467.0
Canada,"Occupations in art, culture, recreation and sport",5.0,4132.0,2777.0,2378.0,2377.0,1172.0,1296.0,2482.0,2095.0
Canada,Sales and service occupations,6.0,6013.0,6841.0,6286.0,11271.0,9987.0,9894.0,24417.0,31142.0
Canada,"Trades, transport and equipment operators and related occupations",7.0,3090.0,3447.0,3131.0,6143.0,5607.0,5719.0,13286.0,14689.0
Canada,"Natural resources, agriculture and related production occupations",8.0,8332.0,8344.0,9430.0,11037.0,11243.0,12192.0,15146.0,15252.0
Canada,Occupations in manufacturing and utilities,9.0,249.0,344.0,403.0,805.0,1143.0,1140.0,3206.0,3252.0
Canada,0,0.0,35479.0,35824.0,37102.0,49144.0,44207.0,47157.0,85514.0,96159.0
Newfoundland and Labrador,Management occupations,0.0,67.0,34.0,14.0,9.0,16.0,22.0,10.0,13.0
Newfoundland and Labrador,"Business, finance and administration occupations",1.0,14.0,6.0,5.0,4.0,13.0,11.0,9.0,16.0
Newfoundland and Labrador,Natural and applied sciences and related occupations,2.0,567.0,453.0,98.0,143.0,158.0,142.0,151.0,108.0
Newfoundland and Labrador,Health occupations,3.0,27.0,10.0,8.0,13.0,29.0,17.0,15.0,19.0
Newfoundland and Labrador,"Occupations in education, law and social, community and government services",4.0,25.0,13.0,11.0,7.0,4.0,1.0,4.0,5.0
Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",5.0,11.0,9.0,1.0,6.0,2.0,1.0,0.0,1.0
Newfoundland and Labrador,Sales and service occupations,6.0,117.0,77.0,29.0,30.0,33.0,44.0,71.0,89.0
Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",7.0,371.0,350.0,84.0,73.0,179.0,101.0,154.0,78.0
Newfoundland and Labrador,"Natural resources, agriculture and related production occupations",8.0,32.0,72.0,39.0,33.0,40.0,43.0,83.0,115.0
Newfoundland and Labrador,Occupations in manufacturing and utilities,9.0,9.0,7.0,5.0,5.0,5.0,4.0,27.0,27.0
Newfoundland and Labrador,0,0.0,1240.0,1031.0,294.0,323.0,479.0,386.0,524.0,471.0
Prince Edward Island,Management occupations,0.0,8.0,4.0,3.0,3.0,9.0,6.0,3.0,5.0
Prince Edward Island,"Business, finance and administration occupations",1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,7.0
Prince Edward Island,Natural and applied sciences and related occupations,2.0,31.0,13.0,2.0,1.0,4.0,2.0,5.0,4.0
Prince Edward Island,Health occupations,3.0,4.0,4.0,0.0,3.0,3.0,1.0,4.0,2.0
Prince Edward Island,"Occupations in education, law and social, community and government services",4.0,6.0,3.0,4.0,5.0,0.0,3.0,2.0,2.0
Prince Edward Island,"Occupations in art, culture, recreation and sport",5.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Prince Edward Island,Sales and service occupations,6.0,8.0,11.0,6.0,12.0,7.0,9.0,60.0,45.0
Prince Edward Island,"Trades, transport and equipment operators and related occupations",7.0,13.0,19.0,10.0,12.0,9.0,10.0,21.0,25.0
Prince Edward Island,"Natural resources, agriculture and related production occupations",8.0,62.0,66.0,72.0,74.0,92.0,96.0,127.0,131.0
Prince Edward Island,Occupations in manufacturing and utilities,9.0,17.0,18.0,17.0,17.0,22.0,23.0,39.0,30.0
Prince Edward Island,0,0.0,154.0,140.0,114.0,129.0,146.0,152.0,263.0,251.0
Nova Scotia,Management occupations,0.0,52.0,59.0,42.0,40.0,47.0,42.0,54.0,53.0
Nova Scotia,"Business, finance and administration occupations",1.0,10.0,5.0,8.0,5.0,5.0,16.0,43.0,72.0
Nova Scotia,Natural and applied sciences and related occupations,2.0,192.0,92.0,40.0,88.0,56.0,110.0,147.0,79.0
Nova Scotia,Health occupations,3.0,26.0,10.0,6.0,5.0,8.0,7.0,6.0,8.0
Nova Scotia,"Occupations in education, law and social, community and government services",4.0,23.0,28.0,35.0,24.0,23.0,27.0,8.0,21.0
Nova Scotia,"Occupations in art, culture, recreation and sport",5.0,16.0,3.0,21.0,7.0,0.0,1.0,3.0,3.0
Nova Scotia,Sales and service occupations,6.0,73.0,74.0,43.0,55.0,58.0,72.0,294.0,466.0
Nova Scotia,"Trades, transport and equipment operators and related occupations",7.0,90.0,110.0,44.0,55.0,25.0,61.0,95.0,102.0
Nova Scotia,"Natural resources, agriculture and related production occupations",8.0,194.0,170.0,199.0,188.0,231.0,218.0,272.0,282.0
Nova Scotia,Occupations in manufacturing and utilities,9.0,24.0,19.0,18.0,21.0,34.0,60.0,83.0,69.0
Nova Scotia,0,0.0,700.0,570.0,456.0,488.0,487.0,614.0,1005.0,1155.0
New Brunswick,Management occupations,0.0,10.0,9.0,4.0,6.0,13.0,13.0,29.0,30.0
New Brunswick,"Business, finance and administration occupations",1.0,11.0,2.0,4.0,6.0,5.0,11.0,37.0,25.0
New Brunswick,Natural and applied sciences and related occupations,2.0,142.0,73.0,41.0,27.0,18.0,24.0,42.0,37.0
New Brunswick,Health occupations,3.0,10.0,14.0,6.0,8.0,5.0,16.0,24.0,30.0
New Brunswick,"Occupations in education, law and social, community and government services",4.0,10.0,17.0,9.0,10.0,4.0,10.0,10.0,11.0
New Brunswick,"Occupations in art, culture, recreation and sport",5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
New Brunswick,Sales and service occupations,6.0,65.0,58.0,53.0,103.0,108.0,124.0,263.0,332.0
New Brunswick,"Trades, transport and equipment operators and related occupations",7.0,133.0,82.0,61.0,54.0,43.0,71.0,126.0,82.0
New Brunswick,"Natural resources, agriculture and related production occupations",8.0,42.0,39.0,39.0,58.0,57.0,76.0,108.0,121.0
New Brunswick,Occupations in manufacturing and utilities,9.0,29.0,33.0,33.0,36.0,58.0,76.0,141.0,107.0
New Brunswick,0,0.0,453.0,327.0,250.0,308.0,311.0,422.0,781.0,776.0
Quebec,Management occupations,0.0,132.0,129.0,151.0,193.0,197.0,217.0,453.0,530.0
Quebec,"Business, finance and administration occupations",1.0,90.0,100.0,103.0,139.0,212.0,224.0,994.0,1584.0
Quebec,Natural and applied sciences and related occupations,2.0,797.0,924.0,1327.0,2106.0,1480.0,2159.0,4118.0,3234.0
Quebec,Health occupations,3.0,141.0,90.0,102.0,320.0,460.0,538.0,1077.0,1425.0
Quebec,"Occupations in education, law and social, community and government services",4.0,334.0,365.0,318.0,520.0,742.0,632.0,1288.0,1336.0
Quebec,"Occupations in art, culture, recreation and sport",5.0,1015.0,628.0,707.0,837.0,405.0,330.0,1025.0,905.0
Quebec,Sales and service occupations,6.0,252.0,269.0,235.0,531.0,841.0,692.0,3681.0,5477.0
Quebec,"Trades, transport and equipment operators and related occupations",7.0,251.0,359.0,557.0,1178.0,1507.0,1166.0,4204.0,4587.0
Quebec,"Natural resources, agriculture and related production occupations",8.0,3488.0,2950.0,3381.0,5057.0,4824.0,5849.0,7432.0,6892.0
Quebec,Occupations in manufacturing and utilities,9.0,55.0,94.0,162.0,431.0,709.0,632.0,2139.0,2072.0
Quebec,0,0.0,6555.0,5908.0,7043.0,11312.0,11377.0,12439.0,26411.0,28042.0
Ontario,Management occupations,0.0,584.0,567.0,585.0,784.0,1005.0,997.0,1532.0,2181.0
Ontario,"Business, finance and administration occupations",1.0,378.0,482.0,448.0,819.0,1235.0,826.0,1875.0,3754.0
Ontario,Natural and applied sciences and related occupations,2.0,798.0,894.0,1043.0,1440.0,1366.0,1695.0,2952.0,2486.0
Ontario,Health occupations,3.0,116.0,118.0,110.0,121.0,170.0,148.0,293.0,522.0
Ontario,"Occupations in education, law and social, community and government services",4.0,3315.0,3545.0,4220.0,3237.0,1824.0,2483.0,1961.0,2227.0
Ontario,"Occupations in art, culture, recreation and sport",5.0,887.0,638.0,545.0,523.0,257.0,255.0,506.0,402.0
Ontario,Sales and service occupations,6.0,772.0,1120.0,1226.0,2013.0,2759.0,2283.0,5145.0,8692.0
Ontario,"Trades, transport and equipment operators and related occupations",7.0,542.0,697.0,640.0,991.0,1248.0,1273.0,2626.0,3441.0
Ontario,"Natural resources, agriculture and related production occupations",8.0,2627.0,3001.0,3065.0,2968.0,3022.0,3174.0,3726.0,3699.0
Ontario,Occupations in manufacturing and utilities,9.0,28.0,49.0,79.0,97.0,132.0,119.0,332.0,448.0
Ontario,0,0.0,10047.0,11111.0,11961.0,12993.0,13018.0,13253.0,20948.0,27852.0
Manitoba,Management occupations,0.0,12.0,13.0,20.0,37.0,23.0,27.0,45.0,55.0
Manitoba,"Business, finance and administration occupations",1.0,7.0,7.0,14.0,28.0,26.0,47.0,172.0,312.0
Manitoba,Natural and applied sciences and related occupations,2.0,19.0,29.0,53.0,36.0,29.0,57.0,76.0,41.0
Manitoba,Health occupations,3.0,22.0,20.0,8.0,13.0,5.0,25.0,29.0,46.0
Manitoba,"Occupations in education, law and social, community and government services",4.0,37.0,35.0,46.0,58.0,31.0,45.0,32.0,46.0
Manitoba,"Occupations in art, culture, recreation and sport",5.0,26.0,9.0,30.0,4.0,2.0,4.0,5.0,8.0
Manitoba,Sales and service occupations,6.0,44.0,58.0,71.0,112.0,100.0,121.0,447.0,685.0
Manitoba,"Trades, transport and equipment operators and related occupations",7.0,39.0,39.0,46.0,105.0,105.0,148.0,327.0,366.0
Manitoba,"Natural resources, agriculture and related production occupations",8.0,101.0,113.0,114.0,154.0,157.0,138.0,197.0,180.0
Manitoba,Occupations in manufacturing and utilities,9.0,1.0,1.0,5.0,4.0,1.0,3.0,16.0,15.0
Manitoba,0,0.0,308.0,324.0,407.0,551.0,479.0,615.0,1346.0,1754.0
Saskatchewan,Management occupations,0.0,17.0,18.0,10.0,14.0,15.0,24.0,21.0,37.0
Saskatchewan,"Business, finance and administration occupations",1.0,3.0,4.0,1.0,6.0,3.0,10.0,42.0,62.0
Saskatchewan,Natural and applied sciences and related occupations,2.0,66.0,33.0,21.0,28.0,16.0,34.0,33.0,22.0
Saskatchewan,Health occupations,3.0,38.0,40.0,29.0,15.0,19.0,21.0,31.0,24.0
Saskatchewan,"Occupations in education, law and social, community and government services",4.0,79.0,73.0,112.0,73.0,20.0,41.0,26.0,26.0
Saskatchewan,"Occupations in art, culture, recreation and sport",5.0,3.0,5.0,8.0,4.0,0.0,1.0,5.0,4.0
Saskatchewan,Sales and service occupations,6.0,119.0,125.0,85.0,183.0,123.0,171.0,529.0,641.0
Saskatchewan,"Trades, transport and equipment operators and related occupations",7.0,43.0,30.0,32.0,49.0,40.0,65.0,124.0,157.0
Saskatchewan,"Natural resources, agriculture and related production occupations",8.0,180.0,182.0,182.0,283.0,257.0,246.0,331.0,334.0
Saskatchewan,Occupations in manufacturing and utilities,9.0,0.0,1.0,3.0,3.0,1.0,4.0,15.0,17.0
Saskatchewan,0,0.0,548.0,511.0,483.0,658.0,494.0,617.0,1157.0,1324.0
Alberta,Management occupations,0.0,487.0,315.0,172.0,257.0,160.0,217.0,369.0,420.0
Alberta,"Business, finance and administration occupations",1.0,182.0,157.0,161.0,457.0,356.0,463.0,1672.0,2085.0
Alberta,Natural and applied sciences and related occupations,2.0,182.0,123.0,148.0,199.0,119.0,213.0,426.0,355.0
Alberta,Health occupations,3.0,173.0,97.0,77.0,88.0,70.0,83.0,123.0,259.0
Alberta,"Occupations in education, law and social, community and government services",4.0,1237.0,1270.0,1473.0,1071.0,417.0,605.0,521.0,550.0
Alberta,"Occupations in art, culture, recreation and sport",5.0,144.0,91.0,63.0,80.0,34.0,44.0,89.0,88.0
Alberta,Sales and service occupations,6.0,2769.0,2595.0,1900.0,3532.0,2145.0,2583.0,6617.0,7451.0
Alberta,"Trades, transport and equipment operators and related occupations",7.0,616.0,573.0,487.0,1071.0,525.0,520.0,1870.0,2349.0
Alberta,"Natural resources, agriculture and related production occupations",8.0,470.0,503.0,577.0,637.0,588.0,587.0,700.0,836.0
Alberta,Occupations in manufacturing and utilities,9.0,50.0,62.0,25.0,69.0,25.0,34.0,118.0,187.0
Alberta,0,0.0,6310.0,5786.0,5083.0,7461.0,4439.0,5349.0,12505.0,14580.0
British Columbia,Management occupations,0.0,459.0,549.0,445.0,832.0,1159.0,999.0,1371.0,1134.0
British Columbia,"Business, finance and administration occupations",1.0,366.0,431.0,407.0,1025.0,1031.0,885.0,1889.0,2115.0
British Columbia,Natural and applied sciences and related occupations,2.0,533.0,597.0,665.0,928.0,946.0,913.0,1460.0,808.0
British Columbia,Health occupations,3.0,58.0,71.0,54.0,93.0,99.0,115.0,174.0,215.0
British Columbia,"Occupations in education, law and social, community and government services",4.0,1709.0,2079.0,2746.0,2132.0,1379.0,1660.0,1287.0,1239.0
British Columbia,"Occupations in art, culture, recreation and sport",5.0,1941.0,1324.0,912.0,821.0,441.0,546.0,744.0,579.0
British Columbia,Sales and service occupations,6.0,1680.0,2428.0,2593.0,4631.0,3791.0,3773.0,7239.0,7192.0
British Columbia,"Trades, transport and equipment operators and related occupations",7.0,960.0,1150.0,1142.0,2523.0,1915.0,2281.0,3712.0,3455.0
British Columbia,"Natural resources, agriculture and related production occupations",8.0,1136.0,1248.0,1762.0,1584.0,1974.0,1764.0,2169.0,2662.0
British Columbia,Occupations in manufacturing and utilities,9.0,36.0,58.0,56.0,122.0,155.0,185.0,296.0,280.0
British Columbia,0,0.0,8878.0,9935.0,10782.0,14691.0,12890.0,13121.0,20341.0,19679.0
Yukon,Management occupations,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0
Yukon,"Business, finance and administration occupations",1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
Yukon,Natural and applied sciences and related occupations,2.0,3.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0
Yukon,Health occupations,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,"Occupations in education, law and social, community and government services",4.0,5.0,11.0,7.0,7.0,0.0,1.0,0.0,2.0
Yukon,"Occupations in art, culture, recreation and sport",5.0,76.0,68.0,85.0,93.0,31.0,111.0,103.0,104.0
Yukon,Sales and service occupations,6.0,5.0,2.0,3.0,16.0,5.0,3.0,15.0,12.0
Yukon,"Trades, transport and equipment operators and related occupations",7.0,6.0,23.0,7.0,14.0,2.0,2.0,9.0,7.0
Yukon,"Natural resources, agriculture and related production occupations",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,Occupations in manufacturing and utilities,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yukon,0,0.0,96.0,109.0,105.0,131.0,39.0,124.0,132.0,128.0
Northwest Territories,Management occupations,0.0,3.0,2.0,1.0,4.0,0.0,2.0,4.0,2.0
Northwest Territories,"Business, finance and administration occupations",1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Northwest Territories,Natural and applied sciences and related occupations,2.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0
Northwest Territories,Health occupations,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0
Northwest Territories,"Occupations in education, law and social, community and government services",4.0,11.0,13.0,12.0,7.0,5.0,5.0,2.0,1.0
Northwest Territories,"Occupations in art, culture, recreation and sport",5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northwest Territories,Sales and service occupations,6.0,26.0,9.0,4.0,20.0,13.0,13.0,35.0,31.0
Northwest Territories,"Trades, transport and equipment operators and related occupations",7.0,11.0,13.0,2.0,2.0,2.0,0.0,10.0,12.0
Northwest Territories,"Natural resources, agriculture and related production occupations",8.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Northwest Territories,Occupations in manufacturing and utilities,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Northwest Territories,0,0.0,60.0,45.0,20.0,38.0,23.0,21.0,55.0,54.0
Nunavut,Management occupations,0.0,2.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0
Nunavut,"Business, finance and administration occupations",1.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0
Nunavut,Natural and applied sciences and related occupations,2.0,12.0,1.0,25.0,7.0,8.0,8.0,7.0,23.0
Nunavut,Health occupations,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Nunavut,"Occupations in education, law and social, community and government services",4.0,6.0,6.0,10.0,2.0,2.0,2.0,1.0,1.0
Nunavut,"Occupations in art, culture, recreation and sport",5.0,7.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0
Nunavut,Sales and service occupations,6.0,83.0,15.0,38.0,33.0,4.0,6.0,21.0,29.0
Nunavut,"Trades, transport and equipment operators and related occupations",7.0,15.0,2.0,19.0,16.0,7.0,21.0,8.0,28.0
Nunavut,"Natural resources, agriculture and related production occupations",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,Occupations in manufacturing and utilities,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nunavut,0,0.0,130.0,27.0,104.0,60.0,23.0,43.0,41.0,82.0
