country_of_citizenship,positions,rank,year,province_region
Mexico,"39,187",1,2020,Canada
Guatemala,"15,065",2,2020,Canada
Jamaica,"13,096",3,2020,Canada
India,"7,110",4,2020,Canada
Philippines,"4,230",5,2020,Canada
France,"1,280",6,2020,Canada
United States,"1,248",7,2020,Canada
Vietnam,"1,078",8,2020,Canada
Trinidad and Tobago,968,9,2020,Canada
Thailand,938,10,2020,Canada
China,920,11,2020,Canada
Tunisia,795,12,2020,Canada
Nicaragua,711,13,2020,Canada
Ukraine,673,14,2020,Canada
United Kingdom,602,15,2020,Canada
South Korea,596,16,2020,Canada
Colombia,576,17,2020,Canada
Mauritius,540,18,2020,Canada
United Arab Emirates,512,19,2020,Canada
Brazil,460,20,2020,Canada
Mexico,"42,579",1,2021,Canada
Guatemala,"18,346",2,2021,Canada
Jamaica,"12,777",3,2021,Canada
India,"7,755",4,2021,Canada
Philippines,"4,894",5,2021,Canada
Vietnam,"1,433",6,2021,Canada
United States,"1,379",7,2021,Canada
France,"1,348",8,2021,Canada
Tunisia,922,9,2021,Canada
Thailand,902,10,2021,Canada
China,784,11,2021,Canada
United Arab Emirates,727,12,2021,Canada
United Kingdom,674,13,2021,Canada
Brazil,626,14,2021,Canada
Honduras,604,15,2021,Canada
Ukraine,600,16,2021,Canada
South Korea,595,17,2021,Canada
Trinidad and Tobago,560,18,2021,Canada
Nicaragua,512,19,2021,Canada
Morocco,510,20,2021,Canada
Mexico,"56,348",1,2022,Canada
Guatemala,"23,782",2,2022,Canada
India,"20,697",3,2022,Canada
Philippines,"15,121",4,2022,Canada
Jamaica,"14,596",5,2022,Canada
Tunisia,"3,769",6,2022,Canada
Vietnam,"3,210",7,2022,Canada
Morocco,"2,881",8,2022,Canada
United Arab Emirates,"2,194",9,2022,Canada
France,"2,078",10,2022,Canada
United States,"1,891",11,2022,Canada
China,"1,879",12,2022,Canada
Colombia,"1,667",13,2022,Canada
Cameroon,"1,511",14,2022,Canada
Taiwan,"1,480",15,2022,Canada
Mauritius,"1,465",16,2022,Canada
Brazil,"1,423",17,2022,Canada
Thailand,"1,416",18,2022,Canada
United Kingdom,"1,222",19,2022,Canada
South Korea,"1,141",20,2022,Canada
Mexico,"58,823",1,2023,Canada
India,"27,475",2,2023,Canada
Guatemala,"21,893",3,2023,Canada
Jamaica,"15,754",4,2023,Canada
Philippines,"12,416",5,2023,Canada
Vietnam,"3,453",6,2023,Canada
Tunisia,"3,027",7,2023,Canada
China,"3,023",8,2023,Canada
Morocco,"2,840",9,2023,Canada
France,"1,912",10,2023,Canada
Cameroon,"1,850",11,2023,Canada
United States,"1,623",12,2023,Canada
United Arab Emirates,"1,477",13,2023,Canada
Colombia,"1,442",14,2023,Canada
Algeria,"1,253",15,2023,Canada
Thailand,"1,126",16,2023,Canada
Pakistan,"1,085",17,2023,Canada
Trinidad and Tobago,"1,064",18,2023,Canada
Brazil,988,19,2023,Canada
United Kingdom,914,20,2023,Canada
Malaysia,191,1,2020,Newfoundland and Labrador
Thailand,130,2,2020,Newfoundland and Labrador
United Kingdom,119,3,2020,Newfoundland and Labrador
Netherlands,88,4,2020,Newfoundland and Labrador
Philippines,70,5,2020,Newfoundland and Labrador
Jamaica,49,6,2020,Newfoundland and Labrador
Norway,38,7,2020,Newfoundland and Labrador
Russia,28,8,2020,Newfoundland and Labrador
United States,28,8,2020,Newfoundland and Labrador
Poland,16,10,2020,Newfoundland and Labrador
Malaysia,111,1,2021,Newfoundland and Labrador
United Kingdom,80,2,2021,Newfoundland and Labrador
Netherlands,76,3,2021,Newfoundland and Labrador
Philippines,71,4,2021,Newfoundland and Labrador
Jamaica,34,5,2021,Newfoundland and Labrador
Poland,34,5,2021,Newfoundland and Labrador
Norway,33,7,2021,Newfoundland and Labrador
Mexico,21,8,2021,Newfoundland and Labrador
India,20,9,2021,Newfoundland and Labrador
United States,18,10,2021,Newfoundland and Labrador
Philippines,294,1,2022,Newfoundland and Labrador
United Kingdom,265,2,2022,Newfoundland and Labrador
Thailand,220,3,2022,Newfoundland and Labrador
Norway,113,4,2022,Newfoundland and Labrador
Mexico,74,5,2022,Newfoundland and Labrador
Taiwan,70,6,2022,Newfoundland and Labrador
India,59,7,2022,Newfoundland and Labrador
Jamaica,36,8,2022,Newfoundland and Labrador
Poland,25,9,2022,Newfoundland and Labrador
United States,24,10,2022,Newfoundland and Labrador
Philippines,560,1,2023,Newfoundland and Labrador
Mexico,247,2,2023,Newfoundland and Labrador
Norway,135,3,2023,Newfoundland and Labrador
Thailand,125,4,2023,Newfoundland and Labrador
United Kingdom,118,5,2023,Newfoundland and Labrador
Taiwan,105,6,2023,Newfoundland and Labrador
India,60,7,2023,Newfoundland and Labrador
Jamaica,38,8,2023,Newfoundland and Labrador
United States,22,9,2023,Newfoundland and Labrador
Netherlands,15,10,2023,Newfoundland and Labrador
Mexico,756,1,2020,Prince Edward Island
Philippines,453,2,2020,Prince Edward Island
China,124,3,2020,Prince Edward Island
India,74,4,2020,Prince Edward Island
Jamaica,30,5,2020,Prince Edward Island
Taiwan,29,6,2020,Prince Edward Island
Vietnam,23,7,2020,Prince Edward Island
St. Vincent and the Gren,18,8,2020,Prince Edward Island
United Kingdom,11,9,2020,Prince Edward Island
Thailand,8,10,2020,Prince Edward Island
Mexico,575,1,2021,Prince Edward Island
Philippines,379,2,2021,Prince Edward Island
Vietnam,121,3,2021,Prince Edward Island
China,87,4,2021,Prince Edward Island
India,70,5,2021,Prince Edward Island
Taiwan,33,6,2021,Prince Edward Island
Jamaica,30,7,2021,Prince Edward Island
Thailand,18,8,2021,Prince Edward Island
Guatemala,11,9,2021,Prince Edward Island
Germany,9,10,2021,Prince Edward Island
Mexico,"1,017",1,2022,Prince Edward Island
Philippines,638,2,2022,Prince Edward Island
Taiwan,124,3,2022,Prince Edward Island
India,60,4,2022,Prince Edward Island
China,51,5,2022,Prince Edward Island
Jamaica,39,6,2022,Prince Edward Island
Vietnam,27,7,2022,Prince Edward Island
United Arab Emirates,25,8,2022,Prince Edward Island
Colombia,12,9,2022,Prince Edward Island
Japan,11,10,2022,Prince Edward Island
Mexico,700,1,2023,Prince Edward Island
Philippines,297,2,2023,Prince Edward Island
India,88,3,2023,Prince Edward Island
Vietnam,57,4,2023,Prince Edward Island
China,43,5,2023,Prince Edward Island
Taiwan,24,6,2023,Prince Edward Island
Thailand,21,7,2023,Prince Edward Island
Jamaica,19,8,2023,Prince Edward Island
Guatemala,17,9,2023,Prince Edward Island
Colombia,16,10,2023,Prince Edward Island
Jamaica,"1,368",1,2020,Nova Scotia
Mexico,"1,257",2,2020,Nova Scotia
Guatemala,59,3,2020,Nova Scotia
Taiwan,54,4,2020,Nova Scotia
United States,34,5,2020,Nova Scotia
India,32,6,2020,Nova Scotia
Poland,31,7,2020,Nova Scotia
Thailand,18,8,2020,Nova Scotia
Norway,17,9,2020,Nova Scotia
Malaysia,16,10,2020,Nova Scotia
Mexico,"1,655",1,2021,Nova Scotia
Jamaica,"1,417",2,2021,Nova Scotia
Philippines,111,3,2021,Nova Scotia
Guatemala,77,4,2021,Nova Scotia
Taiwan,76,5,2021,Nova Scotia
India,73,6,2021,Nova Scotia
Thailand,43,7,2021,Nova Scotia
St. Lucia,40,8,2021,Nova Scotia
United States,38,9,2021,Nova Scotia
South Korea,22,10,2021,Nova Scotia
Mexico,"2,003",1,2022,Nova Scotia
Jamaica,"1,766",2,2022,Nova Scotia
India,329,3,2022,Nova Scotia
Philippines,316,4,2022,Nova Scotia
Taiwan,86,5,2022,Nova Scotia
Thailand,70,6,2022,Nova Scotia
Vietnam,48,7,2022,Nova Scotia
China,46,8,2022,Nova Scotia
United States,45,9,2022,Nova Scotia
South Korea,39,10,2022,Nova Scotia
Mexico,"1,868",1,2023,Nova Scotia
Jamaica,"1,564",2,2023,Nova Scotia
India,323,3,2023,Nova Scotia
Philippines,310,4,2023,Nova Scotia
Guatemala,92,5,2023,Nova Scotia
China,74,6,2023,Nova Scotia
Taiwan,56,7,2023,Nova Scotia
Vietnam,43,8,2023,Nova Scotia
South Korea,35,9,2023,Nova Scotia
United Kingdom,34,10,2023,Nova Scotia
Mexico,"1,089",1,2020,New Brunswick
Jamaica,553,2,2020,New Brunswick
Philippines,296,3,2020,New Brunswick
China,41,4,2020,New Brunswick
Ukraine,34,5,2020,New Brunswick
India,32,6,2020,New Brunswick
South Korea,32,6,2020,New Brunswick
Taiwan,20,8,2020,New Brunswick
Guatemala,18,9,2020,New Brunswick
St. Vincent and the Gren,16,10,2020,New Brunswick
Mexico,"1,341",1,2021,New Brunswick
Philippines,285,2,2021,New Brunswick
Jamaica,272,3,2021,New Brunswick
Taiwan,204,4,2021,New Brunswick
India,106,5,2021,New Brunswick
Ukraine,40,6,2021,New Brunswick
China,34,7,2021,New Brunswick
South Korea,33,8,2021,New Brunswick
Serbia,19,9,2021,New Brunswick
United Arab Emirates,19,9,2021,New Brunswick
Mexico,"3,181",1,2022,New Brunswick
Philippines,947,2,2022,New Brunswick
Jamaica,848,3,2022,New Brunswick
Taiwan,283,4,2022,New Brunswick
India,124,5,2022,New Brunswick
China,61,6,2022,New Brunswick
Guatemala,46,7,2022,New Brunswick
Vietnam,42,8,2022,New Brunswick
Dominican Republic,36,9,2022,New Brunswick
Morocco,34,10,2022,New Brunswick
Mexico,"1,982",1,2023,New Brunswick
Jamaica,683,2,2023,New Brunswick
Philippines,674,3,2023,New Brunswick
India,142,4,2023,New Brunswick
Guatemala,59,5,2023,New Brunswick
Nepal,46,6,2023,New Brunswick
China,38,7,2023,New Brunswick
Dominican Republic,37,8,2023,New Brunswick
Vietnam,31,9,2023,New Brunswick
United States,29,10,2023,New Brunswick
Guatemala,"12,117",1,2020,Quebec
Mexico,"10,450",2,2020,Quebec
France,"1,232",3,2020,Quebec
Philippines,"1,200",4,2020,Quebec
Tunisia,781,5,2020,Quebec
Mauritius,512,6,2020,Quebec
Colombia,504,7,2020,Quebec
Morocco,369,8,2020,Quebec
Madagascar,317,9,2020,Quebec
Honduras,261,10,2020,Quebec
Guatemala,"14,923",1,2021,Quebec
Mexico,"11,254",2,2021,Quebec
France,"1,309",3,2021,Quebec
Tunisia,907,4,2021,Quebec
Philippines,855,5,2021,Quebec
Morocco,475,6,2021,Quebec
Honduras,341,7,2021,Quebec
Colombia,303,8,2021,Quebec
Mauritius,302,9,2021,Quebec
Cameroon,264,10,2021,Quebec
Guatemala,"19,487",1,2022,Quebec
Mexico,"16,328",2,2022,Quebec
Tunisia,"3,685",3,2022,Quebec
Philippines,"3,220",4,2022,Quebec
Morocco,"2,744",5,2022,Quebec
France,"2,012",6,2022,Quebec
Cameroon,"1,410",7,2022,Quebec
Colombia,"1,313",8,2022,Quebec
Mauritius,"1,264",9,2022,Quebec
Madagascar,999,10,2022,Quebec
Guatemala,"16,997",1,2023,Quebec
Mexico,"14,725",2,2023,Quebec
Tunisia,"2,985",3,2023,Quebec
Morocco,"2,681",4,2023,Quebec
Philippines,"2,247",5,2023,Quebec
France,"1,858",6,2023,Quebec
Cameroon,"1,789",7,2023,Quebec
Algeria,"1,215",8,2023,Quebec
Colombia,"1,064",9,2023,Quebec
Mauritius,798,10,2023,Quebec
Mexico,"14,210",1,2020,Ontario
Jamaica,"8,835",2,2020,Ontario
Guatemala,"1,767",3,2020,Ontario
India,"1,570",4,2020,Ontario
Trinidad and Tobago,878,5,2020,Ontario
Philippines,776,6,2020,Ontario
United States,539,7,2020,Ontario
Thailand,475,8,2020,Ontario
Ukraine,361,9,2020,Ontario
St. Vincent and the Gren,290,10,2020,Ontario
Mexico,"16,877",1,2021,Ontario
Jamaica,"9,039",2,2021,Ontario
Guatemala,"2,211",3,2021,Ontario
India,"1,958",4,2021,Ontario
Philippines,"1,400",5,2021,Ontario
United States,526,6,2021,Ontario
Trinidad and Tobago,519,7,2021,Ontario
Thailand,465,8,2021,Ontario
Ukraine,280,9,2021,Ontario
United Arab Emirates,267,10,2021,Ontario
Mexico,"19,680",1,2022,Ontario
Jamaica,"9,616",2,2022,Ontario
India,"4,857",3,2022,Ontario
Philippines,"2,727",4,2022,Ontario
Guatemala,"2,525",5,2022,Ontario
Trinidad and Tobago,839,6,2022,Ontario
Thailand,683,7,2022,Ontario
United States,679,8,2022,Ontario
United Arab Emirates,557,9,2022,Ontario
Vietnam,422,10,2022,Ontario
Mexico,"20,933",1,2023,Ontario
Jamaica,"10,966",2,2023,Ontario
India,"7,422",3,2023,Ontario
Philippines,"2,871",4,2023,Ontario
Guatemala,"2,684",5,2023,Ontario
Trinidad and Tobago,988,6,2023,Ontario
Vietnam,833,7,2023,Ontario
China,618,8,2023,Ontario
Thailand,613,9,2023,Ontario
United States,589,10,2023,Ontario
Mexico,767,1,2020,Manitoba
India,223,2,2020,Manitoba
Nicaragua,127,3,2020,Manitoba
Philippines,111,4,2020,Manitoba
Australia,36,5,2020,Manitoba
United States,27,6,2020,Manitoba
Jamaica,26,7,2020,Manitoba
Dubai,13,8,2020,Manitoba
Guatemala,13,8,2020,Manitoba
New Zealand,13,8,2020,Manitoba
Mexico,583,1,2021,Manitoba
India,247,2,2021,Manitoba
Philippines,87,3,2021,Manitoba
Nicaragua,74,4,2021,Manitoba
United States,54,5,2021,Manitoba
United Arab Emirates,38,6,2021,Manitoba
Australia,37,7,2021,Manitoba
Dubai,35,8,2021,Manitoba
Nigeria,28,9,2021,Manitoba
Brazil,22,10,2021,Manitoba
India,"1,034",1,2022,Manitoba
Mexico,725,2,2022,Manitoba
Philippines,400,3,2022,Manitoba
Nicaragua,113,4,2022,Manitoba
United Arab Emirates,104,5,2022,Manitoba
China,98,6,2022,Manitoba
South Africa,65,7,2022,Manitoba
Nigeria,50,8,2022,Manitoba
United States,44,9,2022,Manitoba
Jamaica,43,10,2022,Manitoba
India,"1,348",1,2023,Manitoba
Mexico,895,2,2023,Manitoba
Philippines,238,3,2023,Manitoba
China,230,4,2023,Manitoba
Nicaragua,80,5,2023,Manitoba
Jamaica,57,6,2023,Manitoba
United Arab Emirates,54,7,2023,Manitoba
Vietnam,48,8,2023,Manitoba
Pakistan,36,9,2023,Manitoba
South Africa,31,10,2023,Manitoba
Mexico,235,1,2020,Saskatchewan
Nicaragua,212,2,2020,Saskatchewan
India,64,3,2020,Saskatchewan
United States,48,4,2020,Saskatchewan
South Africa,46,5,2020,Saskatchewan
Philippines,38,6,2020,Saskatchewan
Ukraine,26,7,2020,Saskatchewan
United Kingdom,22,8,2020,Saskatchewan
Australia,18,9,2020,Saskatchewan
Germany,15,10,2020,Saskatchewan
Mexico,263,1,2021,Saskatchewan
Nicaragua,160,2,2021,Saskatchewan
India,95,3,2021,Saskatchewan
United States,66,4,2021,Saskatchewan
South Africa,52,5,2021,Saskatchewan
Vietnam,29,6,2021,Saskatchewan
Philippines,26,7,2021,Saskatchewan
South Korea,19,8,2021,Saskatchewan
United Kingdom,18,9,2021,Saskatchewan
United Arab Emirates,15,10,2021,Saskatchewan
Mexico,363,1,2022,Saskatchewan
India,332,2,2022,Saskatchewan
Nicaragua,205,3,2022,Saskatchewan
Philippines,204,4,2022,Saskatchewan
South Africa,107,5,2022,Saskatchewan
United States,100,6,2022,Saskatchewan
Vietnam,98,7,2022,Saskatchewan
China,40,8,2022,Saskatchewan
United Arab Emirates,40,8,2022,Saskatchewan
South Korea,39,10,2022,Saskatchewan
Mexico,440,1,2023,Saskatchewan
India,401,2,2023,Saskatchewan
Philippines,295,3,2023,Saskatchewan
Nicaragua,251,4,2023,Saskatchewan
Vietnam,161,5,2023,Saskatchewan
United States,123,6,2023,Saskatchewan
China,82,7,2023,Saskatchewan
South Africa,69,8,2023,Saskatchewan
Taiwan,29,9,2023,Saskatchewan
South Korea,28,10,2023,Saskatchewan
Mexico,"1,695",1,2020,Alberta
India,729,2,2020,Alberta
Philippines,592,3,2020,Alberta
Guatemala,169,4,2020,Alberta
Thailand,150,5,2020,Alberta
United States,111,6,2020,Alberta
China,109,7,2020,Alberta
United Arab Emirates,101,8,2020,Alberta
Nicaragua,96,9,2020,Alberta
South Korea,89,10,2020,Alberta
Mexico,"1,762",1,2021,Alberta
India,819,2,2021,Alberta
Philippines,632,3,2021,Alberta
New Zealand,237,4,2021,Alberta
Guatemala,194,5,2021,Alberta
United States,165,6,2021,Alberta
Thailand,149,7,2021,Alberta
Nicaragua,143,8,2021,Alberta
South Korea,126,9,2021,Alberta
United Arab Emirates,122,10,2021,Alberta
India,"4,534",1,2022,Alberta
Philippines,"3,166",2,2022,Alberta
Mexico,"2,932",3,2022,Alberta
United Arab Emirates,605,4,2022,Alberta
Vietnam,383,5,2022,Alberta
China,341,6,2022,Alberta
United States,335,7,2022,Alberta
Sri Lanka,234,8,2022,Alberta
Dubai,203,9,2022,Alberta
South Korea,198,10,2022,Alberta
India,"6,470",1,2023,Alberta
Mexico,"3,647",2,2023,Alberta
Philippines,"2,701",3,2023,Alberta
China,802,4,2023,Alberta
Vietnam,521,5,2023,Alberta
United Arab Emirates,302,6,2023,Alberta
Nepal,283,7,2023,Alberta
Guatemala,268,8,2023,Alberta
Sri Lanka,252,9,2023,Alberta
Pakistan,233,10,2023,Alberta
Mexico,"8,718",1,2020,British Columbia
India,"4,277",2,2020,British Columbia
Jamaica,"2,057",3,2020,British Columbia
Guatemala,916,4,2020,British Columbia
Vietnam,781,5,2020,British Columbia
Philippines,671,6,2020,British Columbia
China,478,7,2020,British Columbia
South Korea,364,8,2020,British Columbia
United States,303,9,2020,British Columbia
United Arab Emirates,207,10,2020,British Columbia
Mexico,"8,245",1,2021,British Columbia
India,"4,269",2,2021,British Columbia
Jamaica,"1,809",3,2021,British Columbia
Vietnam,"1,044",4,2021,British Columbia
Philippines,"1,039",5,2021,British Columbia
Guatemala,893,6,2021,British Columbia
China,383,7,2021,British Columbia
United States,363,8,2021,British Columbia
South Korea,325,9,2021,British Columbia
Singapore,262,10,2021,British Columbia
Mexico,"10,039",1,2022,British Columbia
India,"9,045",2,2022,British Columbia
Philippines,"3,104",3,2022,British Columbia
Vietnam,"2,034",4,2022,British Columbia
Jamaica,"2,012",5,2022,British Columbia
Guatemala,"1,631",6,2022,British Columbia
China,800,7,2022,British Columbia
South Korea,630,8,2022,British Columbia
United Arab Emirates,605,9,2022,British Columbia
Iran,510,10,2022,British Columbia
Mexico,"13,385",1,2023,British Columbia
India,"10,925",2,2023,British Columbia
Jamaica,"2,181",3,2023,British Columbia
Philippines,"2,158",4,2023,British Columbia
Guatemala,"1,756",5,2023,British Columbia
Vietnam,"1,588",6,2023,British Columbia
China,"1,045",7,2023,British Columbia
Iran,410,8,2023,British Columbia
South Korea,394,9,2023,British Columbia
United Arab Emirates,342,10,2023,British Columbia
United Kingdom,31,1,2020,Yukon
United States,3,2,2020,Yukon
Vietnam,1,3,2020,Yukon
United Kingdom,75,1,2021,Yukon
United States,37,2,2021,Yukon
Mexico,3,3,2021,Yukon
India,2,4,2021,Yukon
China,1,5,2021,Yukon
Croatia,1,5,2021,Yukon
Switzerland,1,5,2021,Yukon
United States,53,1,2022,Yukon
United Kingdom,46,2,2022,Yukon
Philippines,9,3,2022,Yukon
Mexico,4,4,2022,Yukon
India,3,5,2022,Yukon
Nicaragua,3,5,2022,Yukon
China,2,7,2022,Yukon
Czech Republic,2,7,2022,Yukon
Ireland,2,7,2022,Yukon
Mongolia,2,7,2022,Yukon
United Kingdom,78,1,2023,Yukon
United States,20,2,2023,Yukon
South Africa,5,3,2023,Yukon
Australia,2,4,2023,Yukon
Philippines,2,4,2023,Yukon
Singapore,2,4,2023,Yukon
China,1,7,2023,Yukon
Germany,1,7,2023,Yukon
India,1,7,2023,Yukon
Ireland,1,7,2023,Yukon
India,2,1,2020,Northwest Territories
Philippines,2,1,2020,Northwest Territories
Austria,1,3,2020,Northwest Territories
South Korea,1,3,2020,Northwest Territories
Philippines,8,1,2021,Northwest Territories
Sri Lanka,3,2,2021,Northwest Territories
Cayman  Islands,1,3,2021,Northwest Territories
Egypt,1,3,2021,Northwest Territories
India,1,3,2021,Northwest Territories
Nigeria,1,3,2021,Northwest Territories
South Korea,1,3,2021,Northwest Territories
United Kingdom,1,3,2021,Northwest Territories
United States,1,3,2021,Northwest Territories
Philippines,66,1,2022,Northwest Territories
India,14,2,2022,Northwest Territories
Jamaica,4,3,2022,Northwest Territories
United Arab Emirates,4,3,2022,Northwest Territories
Saudi Arabia,3,5,2022,Northwest Territories
Armenia,2,6,2022,Northwest Territories
Egypt,2,6,2022,Northwest Territories
Kuwait,2,6,2022,Northwest Territories
Lebanon,2,6,2022,Northwest Territories
Macao,2,6,2022,Northwest Territories
Philippines,49,1,2023,Northwest Territories
New Zealand,12,2,2023,Northwest Territories
India,10,3,2023,Northwest Territories
Zimbabwe,6,4,2023,Northwest Territories
Nigeria,4,5,2023,Northwest Territories
Australia,3,6,2023,Northwest Territories
Jamaica,3,6,2023,Northwest Territories
United Arab Emirates,3,6,2023,Northwest Territories
Morocco,2,9,2023,Northwest Territories
Saudi Arabia,2,9,2023,Northwest Territories
Estonia,32,1,2020,Nunavut
Philippines,7,2,2020,Nunavut
China,1,3,2020,Nunavut
India,1,3,2020,Nunavut
Qatar,1,3,2020,Nunavut
Russia,1,3,2020,Nunavut
Estonia,32,1,2021,Nunavut
Greece,9,2,2021,Nunavut
United Kingdom,3,3,2021,Nunavut
Bulgaria,2,4,2021,Nunavut
Russia,2,4,2021,Nunavut
Cyprus,1,6,2021,Nunavut
Egypt,1,6,2021,Nunavut
Lebanon,1,6,2021,Nunavut
Philippines,1,6,2021,Nunavut
Poland,1,6,2021,Nunavut
Estonia,33,1,2022,Nunavut
Philippines,30,2,2022,Nunavut
Morocco,3,3,2022,Nunavut
Ireland,2,4,2022,Nunavut
Macao,2,4,2022,Nunavut
Mexico,2,4,2022,Nunavut
United Arab Emirates,2,4,2022,Nunavut
Lebanon,1,8,2022,Nunavut
Russia,1,8,2022,Nunavut
Saudi Arabia,1,8,2022,Nunavut
Finland,60,1,2023,Nunavut
Estonia,19,2,2023,Nunavut
Philippines,14,3,2023,Nunavut
Qatar,2,4,2023,Nunavut
Honduras,1,5,2023,Nunavut
India,1,5,2023,Nunavut
Spain,1,5,2023,Nunavut
Sri Lanka,1,5,2023,Nunavut
Switzerland,1,5,2023,Nunavut
United Arab Emirates,1,5,2023,Nunavut
